;region_id;iso_smaf;gr_age;annee;prob
221;1;11;2;2019;1.0
222;1;11;2;2020;1.0
223;1;11;2;2021;1.0
224;1;11;3;2015;0.5467805
225;1;11;3;2016;0.4915555
226;1;11;3;2017;0.6444577
227;1;11;3;2018;0.6939608
228;1;11;3;2019;1.0
229;1;11;3;2020;1.0
230;1;11;3;2021;1.0
231;1;12;1;2015;0.5862877
232;1;12;1;2016;0.5532085
233;1;12;1;2017;0.5140592
234;1;12;1;2018;0.6195123
235;1;12;1;2019;0.9230413
236;1;12;1;2020;1.0
237;1;12;1;2021;1.0
238;1;12;2;2015;0.5862877
239;1;12;2;2016;0.5532085
240;1;12;2;2017;0.5140592
241;1;12;2;2018;0.6195123
242;1;12;2;2019;0.9230413
243;1;12;2;2020;1.0
244;1;12;2;2021;1.0
245;1;12;3;2015;0.5862877
246;1;12;3;2016;0.5532085
247;1;12;3;2017;0.5140592
248;1;12;3;2018;0.6195123
249;1;12;3;2019;0.9230413
250;1;12;3;2020;1.0
251;1;12;3;2021;1.0
252;1;13;1;2015;0.4941179
253;1;13;1;2016;0.6100799
254;1;13;1;2017;0.6508515
255;1;13;1;2018;0.7505084
256;1;13;1;2019;0.9357733
257;1;13;1;2020;1.0
258;1;13;1;2021;1.0
259;1;13;2;2015;0.4941179
260;1;13;2;2016;0.6100799
261;1;13;2;2017;0.6508515
262;1;13;2;2018;0.7505084
263;1;13;2;2019;0.9357733
264;1;13;2;2020;1.0
265;1;13;2;2021;1.0
266;1;13;3;2015;0.4941179
267;1;13;3;2016;0.6100799
268;1;13;3;2017;0.6508515
269;1;13;3;2018;0.7505084
270;1;13;3;2019;0.9357733
271;1;13;3;2020;1.0
272;1;13;3;2021;1.0
273;1;14;1;2015;0.6076334
274;1;14;1;2016;0.574613
275;1;14;1;2017;0.7682637
276;1;14;1;2018;0.7311918
277;1;14;1;2019;1.0
278;1;14;1;2020;1.0
279;1;14;1;2021;1.0
280;1;14;2;2015;0.6076334
281;1;14;2;2016;0.574613
282;1;14;2;2017;0.7682637
283;1;14;2;2018;0.7311918
284;1;14;2;2019;1.0
285;1;14;2;2020;1.0
286;1;14;2;2021;1.0
287;1;14;3;2015;0.6076334
288;1;14;3;2016;0.574613
289;1;14;3;2017;0.7682637
290;1;14;3;2018;0.7311918
291;1;14;3;2019;1.0
292;1;14;3;2020;1.0
293;1;14;3;2021;1.0
294;2;1;1;2015;0.0074548
295;2;1;1;2016;0.0077862
296;2;1;1;2017;0.0091573
297;2;1;1;2018;0.0097743
298;2;1;1;2019;0.009613
299;2;1;1;2020;0.0105416
300;2;1;1;2021;0.0127228
301;2;1;2;2015;0.0074548
302;2;1;2;2016;0.0077862
303;2;1;2;2017;0.0091573
304;2;1;2;2018;0.0097743
305;2;1;2;2019;0.009613
306;2;1;2;2020;0.0105416
307;2;1;2;2021;0.0127228
308;2;1;3;2015;0.0074548
309;2;1;3;2016;0.0077862
310;2;1;3;2017;0.0091573
311;2;1;3;2018;0.0097743
312;2;1;3;2019;0.009613
313;2;1;3;2020;0.0105416
314;2;1;3;2021;0.0127228
315;2;2;1;2015;0.0134173
316;2;2;1;2016;0.0143012
317;2;2;1;2017;0.0176219
318;2;2;1;2018;0.0181383
319;2;2;1;2019;0.0170989
320;2;2;1;2020;0.0187507
321;2;2;1;2021;0.0226305
322;2;2;2;2015;0.0134173
323;2;2;2;2016;0.0143012
324;2;2;2;2017;0.0176219
325;2;2;2;2018;0.0181383
326;2;2;2;2019;0.0170989
327;2;2;2;2020;0.0187507
328;2;2;2;2021;0.0226305
329;2;2;3;2015;0.0134173
330;2;2;3;2016;0.0143012
331;2;2;3;2017;0.0176219
332;2;2;3;2018;0.0181383
333;2;2;3;2019;0.0170989
334;2;2;3;2020;0.0187507
335;2;2;3;2021;0.0226305
336;2;3;1;2015;0.0283702
337;2;3;1;2016;0.0273462
338;2;3;1;2017;0.0289443
339;2;3;1;2018;0.0291015
340;2;3;1;2019;0.0305828
341;2;3;1;2020;0.0335372
342;2;3;1;2021;0.0404764
343;2;3;2;2015;0.0283702
344;2;3;2;2016;0.0273462
345;2;3;2;2017;0.0289443
346;2;3;2;2018;0.0291015
347;2;3;2;2019;0.0305828
348;2;3;2;2020;0.0335372
349;2;3;2;2021;0.0404764
350;2;3;3;2015;0.0283702
351;2;3;3;2016;0.0273462
352;2;3;3;2017;0.0289443
353;2;3;3;2018;0.0291015
354;2;3;3;2019;0.0305828
355;2;3;3;2020;0.0335372
356;2;3;3;2021;0.0404764
357;2;4;1;2015;0.0569683
358;2;4;1;2016;0.0534613
359;2;4;1;2017;0.0580868
360;2;4;1;2018;0.0647023
361;2;4;1;2019;0.0630676
362;2;4;1;2020;0.06916
363;2;4;1;2021;0.0834701
364;2;4;2;2015;0.0569683
365;2;4;2;2016;0.0534613
366;2;4;2;2017;0.0580868
367;2;4;2;2018;0.0647023
368;2;4;2;2019;0.0630676
369;2;4;2;2020;0.06916
370;2;4;2;2021;0.0834701
371;2;4;3;2015;0.0569683
372;2;4;3;2016;0.0534613
373;2;4;3;2017;0.0580868
374;2;4;3;2018;0.0647023
375;2;4;3;2019;0.0630676
376;2;4;3;2020;0.06916
377;2;4;3;2021;0.0834701
378;2;5;1;2015;0.0575948
379;2;5;1;2016;0.0521459
380;2;5;1;2017;0.0536195
381;2;5;1;2018;0.0592565
382;2;5;1;2019;0.0555551
383;2;5;1;2020;0.0609218
384;2;5;1;2021;0.0735273
385;2;5;2;2015;0.0575948
386;2;5;2;2016;0.0521459
387;2;5;2;2017;0.0536195
388;2;5;2;2018;0.0592565
389;2;5;2;2019;0.0555551
390;2;5;2;2020;0.0609218
391;2;5;2;2021;0.0735273
392;2;5;3;2015;0.0575948
393;2;5;3;2016;0.0521459
394;2;5;3;2017;0.0536195
395;2;5;3;2018;0.0592565
396;2;5;3;2019;0.0555551
397;2;5;3;2020;0.0609218
398;2;5;3;2021;0.0735273
399;2;6;1;2015;0.0772191
400;2;6;1;2016;0.0833442
401;2;6;1;2017;0.0873539
402;2;6;1;2018;0.0982457
403;2;6;1;2019;0.1035714
404;2;6;1;2020;0.1135764
405;2;6;1;2021;0.1370769
406;2;6;2;2015;0.0772191
407;2;6;2;2016;0.0833442
408;2;6;2;2017;0.0873539
409;2;6;2;2018;0.0982457
410;2;6;2;2019;0.1035714
411;2;6;2;2020;0.1135764
412;2;6;2;2021;0.1370769
413;2;6;3;2015;0.0772191
414;2;6;3;2016;0.0833442
415;2;6;3;2017;0.0873539
416;2;6;3;2018;0.0982457
417;2;6;3;2019;0.1035714
418;2;6;3;2020;0.1135764
419;2;6;3;2021;0.1370769
420;2;7;1;2015;0.1339917
421;2;7;1;2016;0.1275408
422;2;7;1;2017;0.1443092
423;2;7;1;2018;0.1549177
424;2;7;1;2019;0.1381826
425;2;7;1;2020;0.1515311
426;2;7;1;2021;0.1828848
427;2;7;2;2015;0.1339917
428;2;7;2;2016;0.1275408
429;2;7;2;2017;0.1443092
430;2;7;2;2018;0.1549177
431;2;7;2;2019;0.1381826
432;2;7;2;2020;0.1515311
433;2;7;2;2021;0.1828848
434;2;7;3;2015;0.1339917
435;2;7;3;2016;0.1275408
436;2;7;3;2017;0.1443092
437;2;7;3;2018;0.1549177
438;2;7;3;2019;0.1381826
439;2;7;3;2020;0.1515311
440;2;7;3;2021;0.1828848
441;2;8;1;2015;0.2064399
442;2;8;1;2016;0.2162788
443;2;8;1;2017;0.2363823
444;2;8;1;2018;0.2797065
445;2;8;1;2019;0.2357584
446;2;8;1;2020;0.2585327
447;2;8;1;2021;0.3120265
448;2;8;2;2015;0.2064399
449;2;8;2;2016;0.2162788
450;2;8;2;2017;0.2363823
451;2;8;2;2018;0.2797065
452;2;8;2;2019;0.2357584
453;2;8;2;2020;0.2585327
454;2;8;2;2021;0.3120265
455;2;8;3;2015;0.2064399
456;2;8;3;2016;0.2162788
457;2;8;3;2017;0.2363823
458;2;8;3;2018;0.2797065
459;2;8;3;2019;0.2357584
460;2;8;3;2020;0.2585327
461;2;8;3;2021;0.3120265
462;2;9;1;2015;0.2402205
463;2;9;1;2016;0.2419235
464;2;9;1;2017;0.2823763
465;2;9;1;2018;0.2808182
466;2;9;1;2019;0.2986169
467;2;9;1;2020;0.3274634
468;2;9;1;2021;0.3952198
469;2;9;2;2015;0.2402205
470;2;9;2;2016;0.2419235
471;2;9;2;2017;0.2823763
472;2;9;2;2018;0.2808182
473;2;9;2;2019;0.2986169
474;2;9;2;2020;0.3274634
475;2;9;2;2021;0.3952198
476;2;9;3;2015;0.2402205
477;2;9;3;2016;0.2419235
478;2;9;3;2017;0.2823763
479;2;9;3;2018;0.2808182
480;2;9;3;2019;0.2986169
481;2;9;3;2020;0.3274634
482;2;9;3;2021;0.3952198
483;2;10;1;2015;0.2082062
484;2;10;1;2016;0.1867239
485;2;10;1;2017;0.2002023
486;2;10;1;2018;0.2319379
487;2;10;1;2019;0.2115878
488;2;10;1;2020;0.2320273
489;2;10;1;2021;0.2800368
490;2;10;2;2015;0.2082062
491;2;10;2;2016;0.1867239
492;2;10;2;2017;0.2002023
493;2;10;2;2018;0.2319379
494;2;10;2;2019;0.2115878
495;2;10;2;2020;0.2320273
496;2;10;2;2021;0.2800368
497;2;10;3;2015;0.2082062
498;2;10;3;2016;0.1867239
499;2;10;3;2017;0.2002023
500;2;10;3;2018;0.2319379
501;2;10;3;2019;0.2115878
502;2;10;3;2020;0.2320273
503;2;10;3;2021;0.2800368
504;2;11;1;2015;0.5276259
505;2;11;1;2016;0.4353437
506;2;11;1;2017;0.43687
507;2;11;1;2018;0.5063881
508;2;11;1;2019;0.4803122
509;2;11;1;2020;0.5267106
510;2;11;1;2021;0.6356938
511;2;11;2;2015;0.5276259
512;2;11;2;2016;0.4353437
513;2;11;2;2017;0.43687
514;2;11;2;2018;0.5063881
515;2;11;2;2019;0.4803122
516;2;11;2;2020;0.5267106
517;2;11;2;2021;0.6356938
518;2;11;3;2015;0.5276259
519;2;11;3;2016;0.4353437
520;2;11;3;2017;0.43687
521;2;11;3;2018;0.5063881
522;2;11;3;2019;0.4803122
523;2;11;3;2020;0.5267106
524;2;11;3;2021;0.6356938
525;2;12;1;2015;0.3301031
526;2;12;1;2016;0.3435901
527;2;12;1;2017;0.3661043
528;2;12;1;2018;0.3649014
