region_id;annee;nb_usagers_svc;heures_tot_trav_inf;heures_tot_trav_avq;heures_tot_trav_avd;nb_etc_inf;nb_etc_avq;nb_etc_avd;tx_hrs_indirect_inf;tx_hrs_indirect_avq;hrs_moy_etc_inf;hrs_moy_etc_avq;hrs_moy_etc_avd
12;2018;2333.25;106496.6;282248.9;5896.236;69.95731;189.6153;3.961103;.766649;.3546578;1522.308;1488.534;1488.534
12;2019;2549;97350.11;373030;132682.5;65.21429;258.4021;91.91068;.7623549;.4206863;1492.773;1443.603;1443.603
13;2015;3854.167;164302;365527.3;13788.15;114.1985;264.8898;9.991978;.6981629;.4480871;1438.74;1379.922;1379.922
13;2016;4086.833;162440.6;370085.4;15666.32;114.7755;266.5984;11.28555;.6708089;.465237;1415.29;1388.176;1388.176
13;2017;4295;173915.3;435226;19737.21;123.0746;305.7675;13.86635;.6698041;.4833422;1413.088;1423.389;1423.389
13;2018;4397.917;184895.8;480862.1;18915.19;126.6697;336.9766;13.25531;.6647004;.501211;1459.669;1426.989;1426.989
13;2019;4579.25;190031.5;576633.3;36224.38;132.8843;400.3231;25.14849;.6708106;.5277553;1430.052;1440.42;1440.42
14;2015;3344.167;115887.9;395840.1;12683.7;79.70557;267.2567;8.563566;.7329306;.4398454;1453.95;1481.123;1481.123
14;2016;3711.333;115373.6;417348.4;7835.359;79.62582;281.2015;5.279318;.696129;.4332321;1448.948;1484.161;1484.161
14;2017;3772.25;123897.3;467583.4;8488.75;86.04758;318.1173;5.775267;.6976387;.4688499;1439.87;1469.846;1469.846
14;2018;3850.833;142288.7;556845.5;10345.79;96.81863;382.5573;7.10764;.7361958;.5121575;1469.642;1455.587;1455.587
14;2019;3736.083;144473;585501.4;14313.63;95.90646;393.8201;9.627636;.7141356;.4976758;1506.395;1486.723;1486.723
15;2015;3803.417;145821.7;292385.1;17964.19;102.4635;205.6384;12.63446;.6698282;.4218708;1423.157;1421.841;1421.841
15;2016;3951.417;147515;285358.4;46426.14;102.924;203.8889;33.17152;.6688977;.3989489;1433.242;1399.578;1399.578
15;2017;4238.417;168699.8;321621.6;60438.96;118.716;235.8872;44.3278;.6942929;.436707;1421.036;1363.455;1363.455
