region_id;annee;nb_usagers;nb_etc_avq;hrs_avq;nb_employes;couts;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14
10;2016;6;1.577391;2721;7;40019.89;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
10;2017;13;1.60029;2760.5;13;41652.91;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
10;2018;20;2.666377;4599.5;24;69042.25;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
10;2019;23;4.209275;7261;27;122075.05;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
10;2020;30;5.902174;10181.25;47;199524.96;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
10;2021;31;5.551102;9575.65;49;227806.34;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
11;2015;486;91.20353;157326.09;909;2623909.9;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
11;2016;420;74.13209;127877.85;734;2241774.9;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
11;2017;386;72.11783;124403.26;697;2232378.9;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
11;2018;379;84.26908;145364.17;690;2180865.5;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
11;2019;369;84.87009;146400.91;642;2411243.5;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
