region_id;annee;nb_usagers_avd;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14;heures_tot_trav_avd;nb_etc_avd;tx_hrs_dep_avd;tx_hrs_admin_avd;sal_avd;cout_hr_services_avd;tx_contrib_avd
16;2019;5770.083;.365232;.076775;.018862;.26906;.044569;.051429;.041305;.034864;.057827;.012738;.008492;.010384;.005676;.002787;348543.1;197.755;.05621018;.10426816;23.8278;28.38256;.4134372
17;2015;0;.563469;.127907;.007267;.114826;.053779;.031008;.044089;.01938;.031977;0;0;.005814;0;.000484;0;0;.05097374;.09288506;18.13;21.17641;.4197305
17;2016;0;.515185;.133919;.002561;.156604;.047201;.035126;.012441;.011343;.013172;.008782;.049396;.004391;.009879;0;0;0;.05099327;.09292064;18.75;21.902;.4100803
17;2017;0;.481467;.119691;.028185;.219691;.033591;.032432;.018533;.026641;.023166;.001544;.004633;.005792;0;.004633;0;0;.05169013;.09444296;19.63;22.98953;.3890912
17;2018;0;.56956;.095072;.020933;.126036;.082861;.023114;.0157;0;.0471;.012647;0;.000872;.006106;0;0;0;.05534822;.10143706;20.5;24.31172;.334611
17;2019;0;.52381;.121252;.010582;.161376;.042328;.010582;.075838;.010582;.013228;.017196;.010582;.002205;.000441;0;0;0;.05621018;.10426816;20.5;24.41867;.2820857
18;2015;0;.563469;.127907;.007267;.114826;.053779;.031008;.044089;.01938;.031977;0;0;.005814;0;.000484;0;0;.05097374;.09288506;18.13;21.17641;.4197305
18;2016;0;.515185;.133919;.002561;.156604;.047201;.035126;.012441;.011343;.013172;.008782;.049396;.004391;.009879;0;0;0;.05099327;.09292064;18.75;21.902;.4100803
18;2017;0;.481467;.119691;.028185;.219691;.033591;.032432;.018533;.026641;.023166;.001544;.004633;.005792;0;.004633;0;0;.05169013;.09444296;19.63;22.98953;.3890912
18;2018;0;.56956;.095072;.020933;.126036;.082861;.023114;.0157;0;.0471;.012647;0;.000872;.006106;0;0;0;.05534822;.10143706;20.5;24.31172;.334611
18;2019;0;.52381;.121252;.010582;.161376;.042328;.010582;.075838;.010582;.013228;.017196;.010582;.002205;.000441;0;0;0;.05621018;.10426816;20.5;24.41867;.2820857
