region_id;annee;nb_places_pub;nb_installations;nb_places_nc;nb_etc_avq;nb_etc_inf;heures_tot_trav_avq;heures_tot_trav_inf;nb_usagers_pub;nb_usagers_nc;iso_smaf_pub1;iso_smaf_pub2;iso_smaf_pub3;iso_smaf_pub4;iso_smaf_pub5;iso_smaf_pub6;iso_smaf_pub7;iso_smaf_pub8;iso_smaf_pub9;iso_smaf_pub10;iso_smaf_pub11;iso_smaf_pub12;iso_smaf_pub13;iso_smaf_pub14;iso_smaf_nc1;iso_smaf_nc2;iso_smaf_nc3;iso_smaf_nc4;iso_smaf_nc5;iso_smaf_nc6;iso_smaf_nc7;iso_smaf_nc8;iso_smaf_nc9;iso_smaf_nc10;iso_smaf_nc11;iso_smaf_nc12;iso_smaf_nc13;iso_smaf_nc14;nb_en_attente;duree_attente;iso_smaf_attente1;iso_smaf_attente2;iso_smaf_attente3;iso_smaf_attente4;iso_smaf_attente5;iso_smaf_attente6;iso_smaf_attente7;iso_smaf_attente8;iso_smaf_attente9;iso_smaf_attente10;iso_smaf_attente11;iso_smaf_attente12;iso_smaf_attente13;iso_smaf_attente14;sans_iso_smaf_attente;age_en_attente0_64;age_en_attente65_74;age_en_attente75_84;age_en_attente85_94;age_en_attente95_plus;cout_fixe
4;2017;2562;37;0;1382.3931;606.67147;1943848.5;944222.35;2284.083;6.666667;0.002662;0.000438;0.001933;0.002881;0.007366;0.013455;0.023263;0.03887;0.106946;0.126892;0.150118;0.14629;0.200985;0.177903;0.0;0.0;0.0;0.0;0.0;0.023256;0.05814;0.0;0.0;0.139535;0.0;0.325581;0.197674;0.255814;98;133.01224;0.0;0.0;0.0;0.0;0.0;0.010204;0.020408;0.010204;0.153061;0.153061;0.265306;0.122449;0.153061;0.112245;0.0;0.0612245;0.0918367;0.2653061;0.4795918;0.1020408;70703.0
4;2018;2566;38;0;1389.143;594.83703;1973674.6;956526.48;2303.25;6.416667;0.00199;0.000796;0.001411;0.002171;0.007344;0.013712;0.020839;0.038712;0.107019;0.126737;0.156946;0.161107;0.194682;0.166534;0.0;0.0;0.0;0.011765;0.0;0.035294;0.023529;0.082353;0.0;0.282353;0.0;0.423529;0.0;0.141176;152;108.89737;0.0;0.0;0.0;0.0;0.0;0.006579;0.059211;0.006579;0.111842;0.138158;0.190789;0.256579;0.171053;0.059211;0.0;0.0921053;0.1052632;0.2631579;0.4407895;0.0986842;70703.0
4;2019;2587;33;0;1367.469;588.62471;1939172.2;958818.21;2309.75;7.916667;0.002237;0.000289;0.001191;0.002381;0.004654;0.014539;0.027383;0.043257;0.111841;0.137203;0.143156;0.172992;0.193124;0.145754;0.0;0.0;0.0;0.0;0.103774;0.0;0.0;0.0;0.113208;0.330189;0.113208;0.226415;0.0;0.113208;116;115.82759;0.0;0.0;0.0;0.008621;0.008621;0.0;0.017241;0.034483;0.155172;0.163793;0.232759;0.181034;0.12931;0.068966;0.0;0.0517241;0.1206897;0.2586207;0.4396552;0.1293103;70703.0
4;2020;2676;33;0;1535.8642;633.56601;2229450.2;1015514.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180;121.77333;0.0;0.0;0.005556;0.0;0.005556;0.0;0.044444;0.033333;0.127778;0.172222;0.166667;0.227778;0.15;0.066667;0.0;0.05;0.1333333;0.3333333;0.3833333;0.1;70703.0
5;2015;2184;33;0;1257.8502;356.16779;1766702.6;533677.11;1456.75;3.5;0.002403;0.00103;0.00246;0.004062;0.011041;0.025056;0.029747;0.051027;0.10417;0.172988;0.150277;0.161947;0.166123;0.117671;0.0;0.0;0.0;0.0;0.0;0.333333;0.0;0.0;0.0;0.095238;0.0;0.285714;0.285714;0.0;141;154.30355;0.0;0.0;0.0;0.007092;0.0;0.0;0.06383;0.028369;0.092199;0.184397;0.184397;0.234043;0.134752;0.070922;0.0;0.0992908;0.0921986;0.2978723;0.3829787;0.1276596;81329.0
5;2016;2217;33;0;1277.0102;356.25407;1796773.5;540326.33;1488.75;7.083333;0.001399;0.00235;0.00207;0.00235;0.010463;0.022046;0.027249;0.056513;0.097135;0.163608;0.164727;0.167021;0.16288;0.120188;0.0;0.0;0.0;0.0;0.137931;0.0;0.034483;0.0;0.137931;0.0;0.275862;0.195402;0.103448;0.114943;216;198.2213;0.0;0.0;0.0;0.0;0.0;0.0;0.009259;0.013889;0.087963;0.24537;0.175926;0.259259;0.162037;0.046296;0.0;0.0601852;0.1481481;0.2962963;0.3796296;0.1157407;81329.0
5;2017;2229;33;0;1307.9005;375.32133;1841459.2;575492.86;1512.667;52.75;0.001485;0.000495;0.001375;0.003025;0.006711;0.018593;0.023434;0.051323;0.105891;0.170691;0.155839;0.174542;0.174927;0.111667;0.037209;0.0;0.0;0.049612;0.037209;0.037209;0.062016;0.093023;0.165891;0.133333;0.162791;0.116279;0.086822;0.018605;187;170.9123;0.0;0.0;0.0;0.0;0.0;0.005348;0.010695;0.010695;0.085561;0.235294;0.229947;0.256684;0.117647;0.048128;0.0;0.0588235;0.1122995;0.2941177;0.4331551;0.1016043;81329.0
5;2018;2237;33;0;1297.1232;400.64806;1838924.6;617253.31;1552.167;75.16667;0.001341;0.000107;0.000697;0.004131;0.005794;0.022477;0.019259;0.070061;0.104769;0.128427;0.157985;0.169465;0.184539;0.130948;0.032258;0.009677;0.0;0.051613;0.012903;0.021505;0.102151;0.033333;0.136559;0.174194;0.160215;0.117204;0.063441;0.084946;263;203.31331;0.0;0.0;0.0;0.0;0.003802;0.0;0.026616;0.007605;0.129278;0.231939;0.197719;0.231939;0.129278;0.041825;0.0;0.0646388;0.148289;0.2889734;0.4106464;0.0874525;81329.0
5;2019;2279;33;162;1276.7926;431.0319;1817879.7;683804.97;1549.75;83.25;0.001612;0.000752;0.001075;0.004675;0.007094;0.019347;0.018917;0.066799;0.116778;0.152676;0.151118;0.139456;0.187016;0.132685;0.014808;0.0;0.0;0.025666;0.0;0.020731;0.068115;0.043435;0.109576;0.25074;0.157947;0.088845;0.099704;0.120434;255;215.36392;0.0;0.0;0.0;0.0;0.0;0.0;0.047059;0.007843;0.098039;0.211765;0.188235;0.25098;0.156863;0.039216;0.0;0.0431373;0.1333333;0.2588235;0.4509804;0.1137255;81329.0
5;2020;2366;33;162;1433.3478;615.46291;1990959.9;1003728.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;458;229.7869;0.0;0.0;0.0;0.0;0.0;0.0;0.050218;0.015284;0.069869;0.30786;0.179039;0.266376;0.085153;0.024017;0.002183;0.0327511;0.0917031;0.2751092;0.4803493;0.1200873;81329.0
6;2015;12382;100;0;6897.3801;2704.708;9662236.3;4260723.4;11972.58;74.16667;0.004125;0.001437;0.004673;0.009117;0.016887;0.055036;0.031309;0.099996;0.160989;0.097003;0.096475;0.10987;0.188035;0.125049;0.004299;0.0;0.0;0.006879;0.0;0.019776;0.030095;0.078246;0.187446;0.122098;0.123818;0.11092;0.195185;0.121238;1165;302.08223;0.0;0.000858;0.000858;0.009442;0.016309;0.028326;0.069528;0.075536;0.172532;0.136481;0.113305;0.135622;0.111588;0.053219;0.076395;0.1030043;0.1244635;0.2763948;0.4309013;0.0652361;72904.0
6;2016;12821;99;0;7098.1396;2857.464;10043312.0;4576354.7;11874.75;41.33333;0.002853;0.001304;0.004346;0.007297;0.014257;0.051209;0.029747;0.09684;0.157231;0.095473;0.097863;0.111307;0.201656;0.128619;0.001427;0.001427;0.005706;0.042796;0.024251;0.021398;0.035663;0.044223;0.156919;0.088445;0.191155;0.1398;0.136947;0.109843;1216;283.91036;0.000822;0.001645;0.001645;0.002467;0.012336;0.01398;0.052632;0.054276;0.17352;0.162829;0.108553;0.154605;0.141447;0.085526;0.033717;0.0912829;0.1077303;0.2606908;0.4555921;0.0847039;72904.0
6;2017;12758;100;0;7534.1472;3023.9014;10735236.0;4859048.3;11686.42;79.83333;0.003155;0.001025;0.00376;0.007015;0.01336;0.047044;0.026784;0.095107;0.147499;0.095855;0.107242;0.118508;0.208516;0.125131;0.015228;0.007614;0.005076;0.021997;0.021151;0.016074;0.041455;0.086294;0.209814;0.115905;0.164975;0.106599;0.121827;0.06599;785;293.28713;0.0;0.001274;0.002548;0.007643;0.017834;0.02293;0.040764;0.050955;0.136306;0.164331;0.128662;0.179618;0.136306;0.08535;0.025478;0.056051;0.1006369;0.2522293;0.4713376;0.1197452;72904.0
6;2018;12444;101;0;7592.7065;3024.2271;10902561.0;4875544.7;11629.75;146.8333;0.002724;0.000865;0.004411;0.006412;0.013453;0.043247;0.025713;0.093886;0.141558;0.09894;0.108533;0.126046;0.209653;0.124559;0.00816;0.002267;0.0;0.021306;0.029918;0.037171;0.05485;0.101541;0.163645;0.118767;0.109701;0.135086;0.18223;0.035358;1775;284.62558;0.0;0.0;0.001127;0.002254;0.009577;0.016338;0.076056;0.070423;0.155493;0.147042;0.11831;0.150986;0.171831;0.073239;0.007324;0.0647887;0.1149296;0.2856338;0.435493;0.0991549;72904.0
6;2019;12588;101;683;7492.4369;2972.682;10997569.0;4927541.6;11734.83;235.8333;0.003618;0.001034;0.004396;0.005246;0.012248;0.044418;0.021876;0.092815;0.132943;0.10451;0.111838;0.125573;0.212157;0.127328;0.005448;0.000605;0.005751;0.017252;0.01816;0.033898;0.073245;0.107143;0.164346;0.094431;0.160412;0.147094;0.144976;0.02724;1832;278.91692;0.0;0.0;0.000546;0.002183;0.008734;0.014192;0.068777;0.088428;0.172489;0.131004;0.132642;0.157205;0.159934;0.062227;0.001638;0.0622271;0.1157205;0.2898472;0.4312227;0.1009825;72904.0
6;2020;12276;101;717;8660.0026;3173.1729;12791348.0;5293367.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1796;337.70891;0.000557;0.0;0.00167;0.002227;0.007795;0.015033;0.074053;0.075167;0.163697;0.154232;0.111359;0.174833;0.164811;0.052339;0.002227;0.0640312;0.107461;0.2967706;0.4387528;0.0929844;72904.0
7;2015;1305;16;0;709.49317;279.58253;957718.11;434505.31;1231.667;2.0;0.001421;0.001556;0.000744;0.001353;0.00433;0.02111;0.025846;0.04134;0.106834;0.141543;0.146211;0.176996;0.174019;0.156698;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;112;214.42321;0.0;0.0;0.0;0.0;0.0;0.0;0.008929;0.0;0.142857;0.267857;0.178571;0.214286;0.107143;0.071429;0.008929;0.0446429;0.1428571;0.3571429;0.4196429;0.0357143;74601.0
7;2016;1313;16;0;726.00544;278.83696;959249.01;436068.87;1237.667;2.0;0.002222;0.000471;0.000808;0.001481;0.003973;0.011312;0.014342;0.041543;0.085174;0.139712;0.161392;0.184285;0.192163;0.161123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;93;255.28387;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010753;0.064516;0.247312;0.172043;0.27957;0.139785;0.075269;0.010753;0.1290323;0.0322581;0.2688172;0.5053763;0.0645161;74601.0
7;2017;1305;16;0;766.69969;298.63769;1025745.3;476797.18;1222.667;1.666667;0.000954;0.000273;0.000409;0.002317;0.006066;0.010224;0.01479;0.038032;0.069452;0.156148;0.157306;0.187909;0.193975;0.162146;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.6;0.0;91;148.57143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.054945;0.274725;0.131868;0.307692;0.175824;0.054945;0.0;0.021978;0.1428571;0.3076923;0.4285714;0.0989011;74601.0
7;2018;1304;16;0;786.99594;305.26322;1053689.8;485693.24;1230.417;1.833333;0.000609;0.000542;0.000339;0.00088;0.00088;0.013066;0.012186;0.031074;0.059915;0.171959;0.161533;0.200867;0.202356;0.143795;0.0;0.0;0.0;0.121212;0.0;0.0;0.0;0.0;0.151515;0.0;0.363636;0.0;0.363636;0.0;159;141.38365;0.0;0.0;0.0;0.0;0.0;0.0;0.006289;0.0;0.031447;0.27044;0.220126;0.232704;0.157233;0.081761;0.0;0.0628931;0.1509434;0.3333333;0.3899371;0.0628931;74601.0
7;2019;1321;18;0;776.09166;312.31688;1048490.6;486412.99;1222.917;1.833333;0.000613;0.000409;0.000136;0.000818;0.004429;0.009131;0.010358;0.033186;0.056559;0.148211;0.177922;0.211175;0.197411;0.149642;0.0;0.0;0.0;0.0;0.0;0.0;0.272727;0.0;0.0;0.181818;0.0;0.0;0.545455;0.0;113;232.56106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.035398;0.238938;0.221239;0.327434;0.150442;0.026549;0.0;0.0088496;0.1504425;0.2566372;0.5132743;0.0707965;74601.0
7;2020;1314;18;0;823.25388;320.30829;1136240.3;511145.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;151;222.73907;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013245;0.046358;0.218543;0.18543;0.271523;0.205298;0.059603;0.0;0.0596026;0.1125828;0.3576159;0.4039735;0.0662252;74601.0
8;2015;676;12;0;400.39732;169.96205;525317.7;260986.11;606.0;0.0;0.00055;0.000413;0.00055;0.004813;0.019527;0.016227;0.047305;0.088146;0.132838;0.134351;0.12115;0.156903;0.136826;0.140402;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;106;266.63208;0.0;0.0;0.0;0.009434;0.018868;0.009434;0.056604;0.028302;0.179245;0.235849;0.179245;0.207547;0.037736;0.028302;0.009434;0.0566038;0.1226415;0.245283;0.490566;0.0849057;69462.0
