region_id;iso_smaf;gr_age;choice;prob
1;11;1;3;.3945
1;11;2;0;0
1;11;2;1;.0686
1;11;2;2;.4515
1;11;2;3;.4799
1;11;3;0;0
1;11;3;1;.0463
1;11;3;2;.4486
1;11;3;3;.5051
1;12;1;0;.0028
1;12;1;1;.062
1;12;1;2;.5821
1;12;1;3;.3531
1;12;2;0;.0008
1;12;2;1;.0368
1;12;2;2;.5343
1;12;2;3;.4281
1;12;3;0;.0001
1;12;3;1;.0247
1;12;3;2;.5275
1;12;3;3;.4477
1;13;1;0;0
1;13;1;1;.1383
1;13;1;2;.4271
1;13;1;3;.4346
1;13;2;0;0
1;13;2;1;.0821
1;13;2;2;.3916
1;13;2;3;.5263
1;13;3;0;0
1;13;3;1;.0554
1;13;3;2;.3898
1;13;3;3;.5548
1;14;1;0;.0016
1;14;1;1;.0488
1;14;1;2;.6201
1;14;1;3;.3295
1;14;2;0;.0005
1;14;2;1;.0291
1;14;2;2;.5702
1;14;2;3;.4002
1;14;3;0;.0001
1;14;3;1;.0194
1;14;3;2;.5624
1;14;3;3;.4181
2;1;1;0;.0661
2;1;1;1;.1585
2;1;1;2;.5007
2;1;1;3;.2747
2;1;2;0;.0256
2;1;2;1;.0938
2;1;2;2;.5565
2;1;2;3;.3241
2;1;3;0;.0065
2;1;3;1;.0326
2;1;3;2;.6375
2;1;3;3;.3234
2;2;1;0;.0816
2;2;1;1;.1257
2;2;1;2;.5039
2;2;1;3;.2888
2;2;2;0;.0313
2;2;2;1;.074
2;2;2;2;.5563
2;2;2;3;.3384
2;2;3;0;.0079
2;2;3;1;.0255
2;2;3;2;.6318
2;2;3;3;.3348
2;3;1;0;.0179
2;3;1;1;.1723
2;3;1;2;.4816
2;3;1;3;.3282
2;3;2;0;.0067
2;3;2;1;.099
2;3;2;2;.5189
2;3;2;3;.3754
2;3;3;0;.0017
2;3;3;1;.0342
2;3;3;2;.5914
2;3;3;3;.3727
2;4;1;0;.0298
2;4;1;1;.1212
2;4;1;2;.4154
2;4;1;3;.4336
2;4;2;0;.0109
2;4;2;1;.068
2;4;2;2;.437
2;4;2;3;.4841
2;4;3;0;.0027
2;4;3;1;.0234
2;4;3;2;.4956
2;4;3;3;.4783
2;5;1;0;.0234
2;5;1;1;.2264
2;5;1;2;.3759
2;5;1;3;.3743
2;5;2;0;.009
2;5;2;1;.1338
2;5;2;2;.4168
2;5;2;3;.4404
2;5;3;0;.0024
2;5;3;1;.0481
2;5;3;2;.4944
2;5;3;3;.4551
2;6;1;0;.0073
2;6;1;1;.1101
2;6;1;2;.353
2;6;1;3;.5296
2;6;2;0;.0026
2;6;2;1;.0601
2;6;2;2;.3615
2;6;2;3;.5758
2;6;3;0;.0007
