region_id;iso_smaf;gr_age;inf1avq0;inf0avq1;inf1avq1;inf0avq0;AVD
2;7;3;1;0;0;0;.1284201
2;6;3;0;1;0;0;.4274221
2;8;3;1;0;0;0;.1284201
2;3;3;0;0;1;0;.4145889
2;10;3;1;0;0;0;.1284201
2;6;3;1;0;0;0;.1752442
2;4;3;0;1;0;0;.4274221
2;9;3;1;0;0;0;.1752442
2;9;3;0;0;1;0;.4406795
2;3;3;1;0;0;0;.1603631
2;3;3;0;1;0;0;.4015529
2;14;3;0;0;0;1;1
2;5;3;0;1;0;0;.3410832
2;7;3;0;0;1;0;.3533151
2;10;3;0;0;0;1;1
2;12;3;1;0;0;0;.1016682
3;7;1;0;1;0;0;.4014036
3;5;1;0;0;1;0;.3189279
3;1;1;0;0;0;1;1
3;11;1;0;1;0;0;.3346627
3;2;1;0;0;1;0;.3132567
3;8;1;0;1;0;0;.4014036
3;12;1;0;0;1;0;.2599451
3;14;1;0;1;0;0;.3346627
3;6;1;0;0;1;0;.3317098
3;12;1;0;0;0;1;1
3;6;1;0;1;0;0;.4154745
3;4;1;0;0;0;1;1
3;6;1;1;0;0;0;.0876123
3;3;1;0;0;1;0;.3132567
3;3;1;1;0;0;0;.0810907
3;14;1;0;0;1;0;.2599451
3;4;1;1;0;0;0;.0876123
3;5;1;1;0;0;0;.0830671
3;10;1;0;0;1;0;.3189279
3;8;1;0;0;0;1;1
3;4;1;0;0;1;0;.3317098
3;1;1;0;0;1;0;.3132567
3;9;1;0;0;1;0;.3317098
3;11;1;1;0;0;0;.0636294
3;6;1;0;0;0;1;1
3;3;1;0;0;0;1;1
3;2;1;0;0;0;1;1
3;11;1;0;0;0;1;1
3;5;1;0;1;0;0;.4014036
3;1;1;1;0;0;0;.0810907
3;9;1;1;0;0;0;.0876123
3;13;1;0;1;0;0;.3346627
3;13;1;1;0;0;0;.0636294
3;4;1;0;1;0;0;.4154745
3;9;1;0;1;0;0;.4154745
3;8;1;1;0;0;0;.0830671
3;7;1;0;0;0;1;1
3;12;1;0;1;0;0;.3346627
3;13;1;0;0;1;0;.2599451
3;9;1;0;0;0;1;1
3;14;1;1;0;0;0;.0636294
3;12;1;1;0;0;0;.0636294
3;1;1;0;1;0;0;.3951166
3;10;1;0;1;0;0;.4014036
3;2;1;0;1;0;0;.3951166
3;14;1;0;0;0;1;1
3;13;1;0;0;0;1;1
3;2;1;1;0;0;0;.0810907
3;8;1;0;0;1;0;.3189279
3;11;1;0;0;1;0;.2599451
3;5;1;0;0;0;1;1
3;7;1;0;0;1;0;.3189279
3;3;1;0;1;0;0;.3951166
3;10;1;0;0;0;1;1
3;10;1;1;0;0;0;.0830671
3;7;1;1;0;0;0;.0830671
3;13;2;1;0;0;0;.0430205
3;1;2;0;0;1;0;.2318123
3;14;2;1;0;0;0;.0430205
3;1;2;0;1;0;0;.3017406
3;2;2;0;0;0;1;1
3;4;2;0;1;0;0;.3198312
3;1;2;1;0;0;0;.0551595
3;7;2;0;0;0;1;1
3;8;2;0;1;0;0;.3072966
3;10;2;1;0;0;0;.0565428
3;10;2;0;1;0;0;.3072966
3;7;2;0;0;1;0;.2365169
3;6;2;0;0;0;1;1
3;7;2;1;0;0;0;.0565428
3;6;2;1;0;0;0;.0597311
3;8;2;0;0;1;0;.2365169
3;13;2;0;0;0;1;1
3;9;2;0;1;0;0;.3198312
3;13;2;0;1;0;0;.2496763
3;5;2;0;1;0;0;.3072966
3;11;2;0;0;1;0;.1885557
3;12;2;0;1;0;0;.2496763
3;2;2;0;0;1;0;.2318123
3;13;2;0;0;1;0;.1885557
3;3;2;0;0;0;1;1
3;3;2;0;0;1;0;.2318123
3;12;2;1;0;0;0;.0430205
3;2;2;0;1;0;0;.3017406
3;1;2;0;0;0;1;1
3;11;2;1;0;0;0;.0430205
3;12;2;0;0;0;1;1
3;9;2;0;0;0;1;1
3;5;2;0;0;0;1;1
3;4;2;0;0;0;1;1
3;6;2;0;0;1;0;.2471947
3;4;2;0;0;1;0;.2471947
3;14;2;0;0;1;0;.1885557
3;3;2;1;0;0;0;.0551595
3;11;2;0;0;0;1;1
3;9;2;0;0;1;0;.2471947
3;7;2;0;1;0;0;.3072966
3;4;2;1;0;0;0;.0597311
3;8;2;1;0;0;0;.0565428
3;5;2;0;0;1;0;.2365169
3;9;2;1;0;0;0;.0597311
3;14;2;0;1;0;0;.2496763
3;3;2;0;1;0;0;.3017406
3;8;2;0;0;0;1;1
3;2;2;1;0;0;0;.0551595
3;6;2;0;1;0;0;.3198312
3;5;2;1;0;0;0;.0565428
3;10;2;0;0;1;0;.2365169
3;10;2;0;0;0;1;1
3;12;2;0;0;1;0;.1885557
3;11;2;0;1;0;0;.2496763
3;14;2;0;0;0;1;1
3;1;3;1;0;0;0;.018012
3;13;3;0;0;1;0;.0680411
3;13;3;0;1;0;0;.0946535
3;8;3;0;0;1;0;.0886989
3;10;3;0;0;1;0;.0886989
3;12;3;0;0;1;0;.0680411
