region_id;annee;nb_places;nb_installations;nb_etc_inf_sad;nb_etc_avq_sad;nb_etc_avd_sad;hrs_inf_sad;hrs_avq_sad;hrs_avd_sad;nb_usagers_tot;nb_usagers_m65_ans;nb_usagers_65_74_ans;nb_usagers_75_84_ans;nb_usagers_85p_ans;nb_usagers_sad;tx_occupation;tx_sad;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14
8;2018;3027;45;6.53446;53.09502;5.01132;11271.94;91588.91;8644.527;2144;28;218;948;950;964.4167;.7082921;.4498212;.121317;.037069;.043636;.278061;.07794;.121662;.090988;.096691;.061868;.030934;.019701;.017714;.001469;.00095
8;2019;3038;42;5.876091;57.5459;6.196998;10136.26;99266.67;10689.82;2100;25;215;922;938;911.4167;.6912442;.4340079;.113651;.051111;.039133;.300082;.057968;.120143;.085947;.104965;.062631;.023224;.013806;.023224;.004114;0
9;2015;688;6;.9045517;6.153217;.190028;1560.352;10614.3;327.7983;489;7;33;232;217;225.5833;.7107558;.4613156;.218692;.051348;.046546;.202438;.087551;.125231;.082748;.073513;.087181;.01256;.005172;.004064;.002955;0
9;2016;704;6;1.034459;5.204;.2920425;1784.442;8976.901;503.7733;518;5;39;240;234;215.6667;.7357954;.4163449;.222952;.051005;.029366;.208655;.078439;.102009;.065688;.089645;.094281;.014297;.005023;.027821;.010819;0
9;2017;702;6;1.339167;11.90642;3.498577;2310.063;20538.57;6035.046;519;5;42;234;238;283.3333;.7393162;.5459216;.209412;.049412;.033824;.233529;.074118;.118235;.053235;.089118;.091765;.010882;.014118;.019412;.002647;.000294
9;2018;882;7;1.425848;16.1817;1.126268;2459.588;27913.43;1942.813;621;6;50;242;323;322.1667;.7040817;.5187869;.202535;.056648;.029488;.192188;.075272;.088464;.071909;.114847;.109157;.017331;.021211;.012933;.002845;.005173
9;2019;893;8;1.948211;23.84237;3.993863;3360.663;41128.08;6889.413;686;5;69;250;362;379.5;.7681971;.553207;.179842;.054238;.036232;.216952;.078832;.108476;.07971;.104743;.071366;.033377;.007027;.019104;.002415;.007686
10;2015;105;2;.193014;1.862026;.5971701;332.9492;3211.995;1030.118;68;0;9;33;26;27.5;.6476191;.4044118;.372727;.084848;.051515;.160606;.139394;.072727;.081818;.012121;.012121;0;0;0;0;.012121
10;2016;130;3;.3047657;2.643038;.6906266;525.7208;4559.24;1191.331;90;0;10;39;41;34.16667;.6923077;.3796296;.429268;.12439;0;.187805;.097561;.060976;.019512;.043902;0;0;.009756;.02439;.002439;0
10;2017;130;3;.3883971;3.773401;.872813;669.985;6509.117;1505.602;90;0;10;39;41;46.83333;.6923077;.5203704;.307829;.133452;.08363;.172598;.076512;.076512;.099644;.037367;.010676;0;0;0;.001779;0
10;2018;130;3;.4446749;3.568703;.667573;767.0642;6156.012;1151.563;90;0;10;39;41;50.58333;.6923077;.5620371;.382208;.116969;.098847;.120264;.103789;.029654;.051071;.019769;.024712;.014827;0;.037891;0;0
10;2019;165;4;.4054024;3.63902;.9832585;699.3192;6277.31;1696.121;86;0;14;42;30;55.25;.5212121;.6424419;.426848;.092006;.07089;.152338;.057315;.034691;.075415;.06184;.006033;.0181;.004525;0;0;0
11;2015;1222;49;2.923083;21.08381;1.490086;5042.318;36369.57;2570.399;962;20;79;328;535;560.8333;.7872341;.5829868;.046062;.045765;.069837;.174443;.079346;.225854;.068945;.09792;.112779;.028826;.012481;.026895;.008618;.002229
11;2016;1195;47;3.219103;25.50846;.241672;5552.952;44002.09;416.8842;970;15;79;311;565;585.25;.8117155;.6033505;.045422;.038303;.065641;.192226;.083867;.236793;.057098;.101239;.088424;.021928;.023921;.032322;.011391;.001424
11;2017;1336;51;3.285865;34.78824;.5680517;5668.117;60009.71;979.8892;1028;17;84;345;582;585.1667;.7694611;.5692283;.035318;.021931;.049416;.182427;.086443;.234264;.076047;.110652;.098263;.035602;.023925;.031188;.010396;.00413
11;2018;1464;49;3.499485;55.51009;.4950889;6036.612;95754.91;854.0283;1045;22;79;340;604;622;.7137978;.5952153;.048767;.027599;.048633;.173232;.078242;.235129;.060557;.116426;.112808;.037647;.021302;.024116;.009646;.005895
11;2019;1478;49;3.547997;64.35901;1.51414;6120.296;111019.3;2611.891;1055;24;85;336;610;614.4167;.7138025;.5823855;.044215;.04191;.077038;.172928;.08287;.206293;.076767;.102536;.110267;.03445;.023735;.022515;.003798;.000678
