region_id;iso_smaf;gr_age;choice;prob
6;7;1;2;.4161
6;7;1;3;.2933
6;7;2;0;.0226
6;7;2;1;.1665
6;7;2;2;.4182
6;7;2;3;.3927
6;7;3;0;.0049
6;7;3;1;.1317
6;7;3;2;.3992
6;7;3;3;.4642
6;8;1;0;.079
6;8;1;1;.1559
6;8;1;2;.4106
6;8;1;3;.3545
6;8;2;0;.0229
6;8;2;1;.1171
6;8;2;2;.3999
6;8;2;3;.4601
6;8;3;0;.0048
6;8;3;1;.0906
6;8;3;2;.3731
6;8;3;3;.5315
6;9;1;0;.0217
6;9;1;1;.1213
6;9;1;2;.4238
6;9;1;3;.4332
6;9;2;0;.0059
6;9;2;1;.0849
6;9;2;2;.3849
6;9;2;3;.5243
6;9;3;0;.0012
6;9;3;1;.0637
6;9;3;2;.3481
6;9;3;3;.587
6;10;1;0;.0286
6;10;1;1;.2287
6;10;1;2;.4163
6;10;1;3;.3264
6;10;2;0;.0082
6;10;2;1;.1703
6;10;2;2;.4018
6;10;2;3;.4197
6;10;3;0;.0017
6;10;3;1;.1326
6;10;3;2;.3775
6;10;3;3;.4882
6;11;1;0;.0276
6;11;1;1;.147
6;11;1;2;.4797
6;11;1;3;.3457
6;11;2;0;.0077
6;11;2;1;.1068
6;11;2;2;.4518
6;11;2;3;.4337
6;11;3;0;.0016
6;11;3;1;.082
6;11;3;2;.4187
6;11;3;3;.4977
6;12;1;0;.0374
6;12;1;1;.1836
6;12;1;2;.4287
6;12;1;3;.3503
6;12;2;0;.0106
6;12;2;1;.1351
6;12;2;2;.409
6;12;2;3;.4453
6;12;3;0;.0022
6;12;3;1;.1041
6;12;3;2;.3807
6;12;3;3;.513
6;13;1;0;.0185
6;13;1;1;.102
6;13;1;2;.4395
6;13;1;3;.44
6;13;2;0;.005
6;13;2;1;.0709
6;13;2;2;.3959
6;13;2;3;.5282
6;13;3;0;.001
6;13;3;1;.053
6;13;3;2;.3568
6;13;3;3;.5892
6;14;1;0;.0219
6;14;1;1;.1049
6;14;1;2;.5191
