region_id;iso_smaf;gr_age;sans_services;dom;rpa;ri;nsa;chsld
8;5;1;251;32;1;15;1;4
8;5;2;12;7;0;3;0;1
8;5;3;83;57;40;11;1;3
8;6;1;11;9;1;3;1;1
8;6;2;8;4;2;1;0;0
8;6;3;100;57;109;41;0;3
8;7;1;177;32;2;17;1;4
8;7;2;20;10;2;3;0;2
8;7;3;122;79;74;28;0;18
8;8;1;9;2;3;3;0;3
8;8;2;6;1;0;5;0;6
8;8;3;59;52;100;58;1;24
8;9;1;31;38;7;10;1;18
8;9;2;7;7;3;3;0;6
8;9;3;59;59;47;28;0;44
8;10;1;33;7;1;2;1;4
8;10;2;2;3;0;1;0;2
8;10;3;37;31;25;25;0;73
8;11;1;5;1;0;2;0;9
8;11;2;1;1;0;0;0;7
8;11;3;14;15;20;7;2;66
8;12;1;39;11;2;7;0;2
8;12;2;1;1;0;3;0;5
8;12;3;29;16;22;14;0;89
8;13;1;13;6;0;2;0;10
8;13;2;4;0;0;0;0;9
8;13;3;8;7;3;7;1;87
8;14;1;29;5;0;8;2;7
8;14;2;1;0;0;0;0;5
8;14;3;9;2;0;1;0;68
9;1;1;141;35;2;10;2;0
9;1;2;24;19;2;0;0;0
9;1;3;289;251;51;1;1;0
9;2;1;49;14;2;0;0;0
9;2;2;12;8;0;0;0;0
9;2;3;80;65;16;0;0;1
9;3;1;15;3;0;5;1;0
9;3;2;1;3;1;0;0;0
9;3;3;28;24;10;1;0;0
9;4;1;59;46;4;1;0;0
9;4;2;21;23;2;0;0;0
9;4;3;152;229;57;1;0;0
9;5;1;120;9;3;19;6;0
9;5;2;8;5;1;1;0;0
9;5;3;56;47;20;9;0;2
9;6;1;6;5;0;3;0;0
9;6;2;3;1;3;1;0;1
9;6;3;40;64;35;13;0;4
9;7;1;55;8;1;13;2;0
9;7;2;2;6;0;5;1;1
9;7;3;54;90;20;18;5;8
9;8;1;0;3;1;4;0;1
9;8;2;3;0;1;1;0;2
9;8;3;32;41;35;31;4;13
9;9;1;25;23;2;13;3;7
9;9;2;9;12;1;4;1;1
9;9;3;50;80;24;29;6;18
9;10;1;18;8;0;11;0;3
9;10;2;1;3;0;3;0;0
9;10;3;18;38;11;18;13;29
9;11;1;2;1;0;1;1;1
9;11;2;0;0;0;2;0;0
9;11;3;12;14;4;5;11;44
9;12;1;20;3;0;9;1;2
9;12;2;1;0;0;2;0;0
9;12;3;14;34;8;23;9;58
9;13;1;3;7;1;4;5;10
9;13;2;1;2;0;1;2;0
9;13;3;7;7;1;5;11;41
9;14;1;5;5;1;15;1;7
9;14;2;0;0;0;0;0;3
9;14;3;2;2;2;2;34;40
10;1;1;49;10;0;0;0;0
10;1;2;10;4;0;0;0;0
10;1;3;45;47;22;0;0;0
10;2;1;12;4;0;0;0;0
10;2;2;5;0;0;0;0;0
10;2;3;10;8;6;0;0;0
10;3;1;1;0;0;0;0;0
10;3;2;0;0;0;0;0;0
10;3;3;0;1;5;0;0;0
10;4;1;7;3;0;0;0;0
10;4;2;3;2;0;0;0;0
10;4;3;7;7;9;0;0;0
10;5;1;6;1;0;3;0;0
10;5;2;2;0;0;0;0;0
10;5;3;7;9;3;1;0;0
10;6;1;0;0;0;0;0;0
10;6;2;0;0;0;0;0;0
10;6;3;2;6;1;1;0;0
10;7;1;3;1;0;2;0;0
10;7;2;0;0;0;1;0;0
10;7;3;5;6;6;5;0;1
10;8;1;0;0;0;0;0;0
10;8;2;0;0;0;0;0;0
10;8;3;3;3;2;2;0;6
10;9;1;1;3;0;0;0;2
10;9;2;0;1;0;0;0;0
10;9;3;0;1;0;1;0;2
10;10;1;1;1;0;0;0;0
10;10;2;0;1;0;0;0;0
10;10;3;1;1;1;1;0;6
10;11;1;0;0;0;0;0;0
10;11;2;0;0;0;0;0;1
10;11;3;0;0;1;1;0;2
10;12;1;0;1;0;0;0;0
10;12;2;0;0;0;0;0;0
10;12;3;0;0;0;5;0;6
10;13;1;0;0;0;0;0;2
10;13;2;0;0;0;0;0;1
10;13;3;1;0;0;0;0;7
10;14;1;1;0;0;0;0;0
10;14;2;0;0;0;0;0;0
10;14;3;0;0;0;0;0;0
11;1;1;147;34;1;1;0;0
11;1;2;43;17;0;0;0;0
11;1;3;394;240;16;0;0;0
11;2;1;68;14;0;0;0;0
11;2;2;10;9;1;0;0;0
11;2;3;140;88;21;0;0;0
11;3;1;12;0;0;3;0;0
11;3;2;3;3;3;0;0;0
11;3;3;50;27;39;0;0;0
11;4;1;74;49;6;1;0;0
11;4;2;40;39;2;0;0;0
11;4;3;280;322;78;0;0;0
11;5;1;131;21;4;10;0;0
11;5;2;22;6;2;2;0;0
11;5;3;97;74;39;3;0;0
11;6;1;5;11;2;2;0;1
11;6;2;6;6;3;1;0;0
11;6;3;100;121;117;3;0;2
11;7;1;70;17;4;11;0;1
11;7;2;14;6;2;1;1;0
11;7;3;72;76;36;25;0;4
11;8;1;8;3;0;3;0;0
11;8;2;4;5;4;2;0;0
11;8;3;44;76;58;29;1;4
11;9;1;24;32;1;7;3;4
11;9;2;21;19;3;3;0;2
11;9;3;97;153;63;32;9;10
11;10;1;24;11;1;3;0;1
11;10;2;5;2;0;3;0;0
11;10;3;20;35;22;32;12;44
11;11;1;3;6;0;4;1;0
11;11;2;1;1;2;4;2;2
11;11;3;18;30;18;12;14;64
11;12;1;14;8;0;7;1;2
11;12;2;3;3;0;2;0;3
11;12;3;21;35;19;34;9;68
11;13;1;4;12;0;5;0;5
11;13;2;1;1;0;1;2;8
11;13;3;7;7;3;3;12;116
11;14;1;6;6;0;3;1;4
11;14;2;0;2;1;3;0;3
11;14;3;4;5;0;3;2;53
12;1;1;762;108;5;9;0;0
12;1;2;111;44;4;0;0;0
12;1;3;1012;405;238;0;0;0
12;2;1;227;49;3;3;0;0
12;2;2;33;4;1;0;0;0
12;2;3;321;119;77;0;0;0
12;3;1;66;6;4;14;0;0
12;3;2;13;3;2;2;0;0
12;3;3;157;41;153;6;0;0
12;4;1;120;121;15;3;0;0
12;4;2;54;67;4;1;0;0
12;4;3;562;461;485;2;0;0
12;5;1;348;33;11;52;0;1
12;5;2;53;12;10;11;0;0
12;5;3;377;145;240;11;0;1
12;6;1;21;18;9;10;0;1
12;6;2;13;10;12;6;1;0
12;6;3;323;147;578;15;0;8
12;7;1;239;17;7;40;0;2
12;7;2;46;12;11;13;0;2
12;7;3;331;149;249;36;1;27
12;8;1;10;1;6;15;2;1
12;8;2;16;4;3;4;0;2
12;8;3;232;104;413;71;7;57
12;9;1;55;66;23;18;1;16
12;9;2;33;30;12;7;2;12
12;9;3;232;147;274;46;8;137
12;10;1;82;17;1;42;2;4
12;10;2;10;4;4;12;0;6
12;10;3;136;45;166;68;11;164
12;11;1;8;9;4;7;0;11
12;11;2;1;3;1;5;1;7
12;11;3;117;45;128;35;12;266
12;12;1;39;21;1;18;1;10
12;12;2;7;0;2;4;1;9
12;12;3;101;36;122;55;12;201
12;13;1;10;14;4;15;2;25
12;13;2;4;3;4;3;0;14
12;13;3;85;14;60;16;23;296
12;14;1;48;22;0;29;1;13
12;14;2;6;1;0;0;2;9
12;14;3;37;18;36;7;9;224
13;1;1;673;69;1;22;0;0
13;1;2;140;25;0;0;0;0
13;1;3;2047;781;62;1;0;3
13;2;1;339;17;0;8;0;0
13;2;2;35;8;0;1;0;0
13;2;3;591;192;16;0;0;1
13;3;1;36;1;0;29;0;0
13;3;2;10;2;0;3;0;0
13;3;3;134;75;18;1;0;0
13;4;1;219;68;0;7;0;0
13;4;2;100;34;0;1;0;0
13;4;3;1203;1014;110;2;0;5
13;5;1;745;16;1;111;1;8
13;5;2;24;5;0;8;0;1
13;5;3;372;252;33;12;0;3
13;6;1;31;12;0;21;0;2
13;6;2;22;5;1;5;1;3
13;6;3;404;358;119;42;0;24
13;7;1;469;15;0;80;1;4
13;7;2;17;5;0;22;0;0
13;7;3;307;277;61;43;0;13
13;8;1;13;2;0;17;1;6
13;8;2;3;3;0;11;0;2
13;8;3;256;276;100;124;1;47
13;9;1;83;58;0;40;2;8
13;9;2;31;18;0;18;1;9
13;9;3;339;325;33;37;0;180
13;10;1;86;5;0;41;1;4
13;10;2;5;4;0;5;0;2
13;10;3;145;163;39;57;1;197
13;11;1;10;1;0;11;0;0
13;11;2;0;0;0;1;0;5
13;11;3;98;94;16;20;0;255
13;12;1;194;4;0;32;1;8
13;12;2;3;3;0;4;0;10
13;12;3;102;97;30;52;4;312
13;13;1;36;13;0;23;7;14
13;13;2;5;2;0;2;0;7
13;13;3;70;67;17;12;1;316
13;14;1;48;18;0;32;0;8
13;14;2;2;4;0;0;0;8
13;14;3;43;41;3;3;0;233
14;1;1;818;110;0;10;0;0
14;1;2;282;80;3;2;0;0
14;1;3;1774;591;135;2;1;0
14;2;1;316;31;0;5;0;0
14;2;2;99;28;2;0;0;0
14;2;3;567;200;40;2;0;0
14;3;1;56;9;0;11;0;3
14;3;2;22;4;1;1;0;1
14;3;3;127;40;32;3;0;2
14;4;1;342;169;13;4;0;0
14;4;2;165;81;7;2;0;0
14;4;3;1151;773;337;3;0;1
14;5;1;257;37;3;66;0;5
14;5;2;35;10;5;12;0;2
14;5;3;351;163;79;30;0;5
14;6;1;39;18;2;10;0;7
14;6;2;28;7;1;8;0;1
14;6;3;350;176;235;75;0;14
14;7;1;229;28;3;68;1;6
14;7;2;28;11;1;19;0;4
14;7;3;387;176;78;113;3;12
14;8;1;20;1;1;14;0;6
14;8;2;11;7;1;6;0;6
14;8;3;271;166;210;192;2;93
14;9;1;107;110;7;21;0;27
14;9;2;43;43;4;9;0;17
14;9;3;254;214;115;82;0;152
14;10;1;59;19;0;42;0;15
14;10;2;7;9;4;10;0;10
14;10;3;113;93;56;47;2;303
14;11;1;12;9;0;9;0;6
14;11;2;4;2;0;1;0;2
14;11;3;79;48;42;19;0;239
14;12;1;42;20;1;35;0;15
14;12;2;6;2;1;3;0;20
14;12;3;83;84;51;26;2;274
14;13;1;20;18;1;10;0;27
14;13;2;9;8;0;1;1;24
14;13;3;48;36;14;9;0;298
14;14;1;45;22;0;28;0;13
14;14;2;2;4;0;0;0;6
14;14;3;25;22;7;0;1;194
15;1;1;1096;178;1;20;0;0
15;1;2;275;66;6;0;0;0
15;1;3;2074;743;103;0;0;1
15;2;1;538;47;0;4;0;0
15;2;2;128;19;0;0;0;0
15;2;3;676;230;42;0;0;1
15;3;1;89;6;4;27;0;0
15;3;2;22;12;4;2;0;0
15;3;3;182;66;71;4;0;0
