region_id;annee;nb_usagers_none;nb_usagers_svc;iso_smaf1_none;iso_smaf2_none;iso_smaf3_none;iso_smaf4_none;iso_smaf5_none;iso_smaf6_none;iso_smaf7_none;iso_smaf8_none;iso_smaf9_none;iso_smaf10_none;iso_smaf11_none;iso_smaf12_none;iso_smaf13_none;iso_smaf14_none;iso_smaf1_svc;iso_smaf2_svc;iso_smaf3_svc;iso_smaf4_svc;iso_smaf5_svc;iso_smaf6_svc;iso_smaf7_svc;iso_smaf8_svc;iso_smaf9_svc;iso_smaf10_svc;iso_smaf11_svc;iso_smaf12_svc;iso_smaf13_svc;iso_smaf14_svc;heures_tot_trav_inf;heures_tot_trav_avq;heures_tot_trav_avd;nb_etc_inf;nb_etc_avq;nb_etc_avd;tx_hrs_indirect_inf;tx_hrs_indirect_avq;hrs_moy_etc_inf;hrs_moy_etc_avq;nb_en_attente_inf_m30j;nb_en_attente_inf_31_90j;nb_en_attente_inf_p90j;nb_en_attente_avq_m30j;nb_en_attente_avq_31_90j;nb_en_attente_avq_p90j;nb_en_attente_inf;nb_en_attente_avq
8;2017;3296;1706;.403772;.12414;.026623;.133571;.109906;.025005;.084825;.015625;.020429;.018735;.003565;.015903;.007661;.01024;.319949;.09999;.022812;.284242;.05974;.038834;.05129;.024277;.05129;.014215;.00635;.016608;.004005;.006399;56298.76;72978.46;100167.6;37.65128;48.9991;67.25442;.6861882;.066472;1495.268;1489.384;0;0;0;12;15;9;0;36
8;2018;3300.917;1654.833;.409987;.12643;.027871;.134609;.101588;.025776;.082098;.016233;.022039;.016738;.003231;.016384;.007826;.009189;.303606;.098852;.017323;.281045;.057156;.046128;.062192;.02538;.052775;.013546;.010072;.015409;.006144;.010374;56799.76;78432.04;106797.6;39.72565;53.81605;73.27903;.6825632;.0875667;1429.801;1457.41;77;15;34;43;33;51;126;127
8;2019;3309.25;1630.75;.41321;.122334;.025711;.135026;.09753;.028305;.084586;.017879;.022437;.016041;.003928;.016444;.005943;.010627;.302621;.089734;.011549;.276713;.059431;.042363;.072564;.029537;.056109;.023302;.008841;.014053;.007256;.005928;60528.42;108384.5;111347.7;45.13537;73.25526;75.25806;.7107828;.1959082;1341.042;1479.545;119;262;10;43;357;19;391;419
9;2015;1243;1078.25;.362631;.131;.024739;.149839;.108809;.030102;.07911;.011598;.049812;.018906;.00295;.017163;.00771;.005632;.329469;.094675;.02164;.222583;.056882;.055955;.057501;.030451;.075508;.022877;.009352;.009274;.006801;.007033;41297.44;30696.72;7159.642;29.49342;20.09578;4.687099;.6865445;.0090063;1400.226;1527.521;0;0;0;0;0;0;0;0
9;2016;1236.25;1057.667;.368588;.12875;.023997;.146478;.108932;.029727;.073407;.017661;.046579;.020088;.002764;.015774;.010516;.006741;.330523;.084935;.020722;.217066;.051213;.054995;.062323;.025922;.083281;.02931;.010794;.015522;.009061;.004333;41552.4;30995.53;832.7907;29.00897;22.71168;.6102195;.6857288;.0081772;1432.398;1364.74;1;2;1;1;0;0;4;1
9;2017;1200.333;1074.333;.352749;.105804;.029575;.158289;.118925;.032977;.06887;.016801;.051375;.020828;.00486;.0218;.009997;.007151;.27009;.093934;.02327;.239839;.06027;.057633;.061123;.030174;.084936;.03157;.007912;.016134;.013342;.009774;43610.09;43555.52;34156.61;29.8786;29.94132;23.48024;.7041574;0;1459.576;1454.696;0;0;0;0;0;0;0;0
9;2018;1323.917;1139;.354378;.108265;.02757;.150375;.126393;.027884;.074338;.016051;.055139;.021275;.00705;.019387;.006546;.00535;.276266;.083919;.015072;.244293;.059482;.053775;.078797;.026558;.087577;.028607;.00878;.015072;.012145;.009658;49013.22;72165.34;50143.89;33.09456;47.3811;32.92263;.7466627;.329318;1481.005;1523.083;7;8;10;6;3;2;25;11
9;2019;1220.5;1209.25;.329851;.102485;.031954;.15185;.140516;.030315;.0777;.019323;.056125;.020347;.008262;.021576;.006077;.003619;.270691;.074909;.024947;.247123;.051547;.054166;.075805;.030391;.088209;.032389;.007994;.025222;.010888;.00572;55719.41;116245.4;96189.79;37.11825;75.44362;62.42746;.7579923;.4198975;1501.132;1540.825;60;8;11;16;6;7;79;29
10;2015;111.6667;125.4167;.555224;.174627;.030597;.070896;.060448;.006716;.034328;.014925;.018657;.010448;.007463;0;.014925;.000746;.507641;.146844;.026578;.133555;.064452;.027243;.028571;0;.046512;.008638;0;.007973;.001329;.000664;10795.54;5469.34;10332.38;7.087271;3.76647;7.115414;.8275025;0;1523.23;1452.113;0;0;0;0;0;0;0;0
10;2016;139.1667;128.1667;.561677;.137725;.007186;.094611;.076647;.026347;.026347;.009581;.011377;.007186;0;.014371;.011976;.01497;.503901;.141092;.004551;.128088;.055917;.040962;.046814;.005202;.026658;.026008;.009753;.009103;0;.001951;10797.03;6178.268;10591.69;7.186547;6.313031;10.82273;.8239608;0;1502.395;978.6532;0;0;0;0;0;0;0;0
10;2017;154.6667;126.6667;.5625;.152478;.022091;.103987;.059806;.009698;.031789;.023707;.00431;.008621;.005927;0;.008621;.006466;.524342;.133553;.007237;.171711;.032895;.015132;.042763;.007237;.031579;.002632;.013158;.004605;.005263;.007895;9803.976;9460.713;12271.92;6.84321;6.055498;7.854863;.799351;0;1432.657;1562.334;1;1;0;1;0;1;2;2
10;2018;144.4167;141.5;.556838;.170802;.017888;.072129;.071552;.010387;.054818;.012118;.004039;.014426;.002308;.005193;.000577;.006924;.552415;.11543;.017079;.104829;.048292;.053004;.045347;0;.041225;.010012;.008245;.000589;.003534;0;9153.691;10037.59;13785.22;6.013705;6.085327;8.357344;.8190925;0;1522.138;1649.474;0;0;0;0;0;0;0;0
10;2019;170.4167;120.3333;.558924;.145721;.00978;.103178;.064548;.00489;.062103;.014181;.005868;.016626;0;.002934;.005379;.005868;.540166;.112188;.00831;.083102;.09626;.046399;.046399;.00554;.034626;.017313;0;.009695;0;0;7575.393;10068.62;8075.85;6.593029;6.182724;4.959046;.8367934;0;1149;1628.509;1;0;0;0;1;1;1;2
11;2015;1631.5;1498.333;.284145;.124476;.026663;.185259;.093115;.065482;.066197;.025079;.065533;.018643;.013995;.016089;.010573;.00475;.205951;.086707;.0297;.260679;.055061;.091101;.042325;.035595;.111235;.023693;.014405;.018687;.01307;.011791;36793.17;85441.52;9315.33;24.59635;57.34644;6.252242;.3957795;0;1495.879;1489.918;0;0;0;0;0;0;0;0
11;2016;1573.333;1487.167;.292532;.127172;.029184;.184958;.104078;.058157;.057574;.02553;.060381;.015148;.012606;.019174;.007733;.005773;.184859;.075199;.025944;.2753;.058164;.094531;.047798;.039617;.10826;.025664;.019556;.025608;.011935;.007565;42773.16;119717.1;10615.72;28.96847;80.1023;7.10294;.5537342;0;1476.542;1494.553;28;6;1;10;2;0;35;12
11;2017;1577.75;1422.25;.292083;.108858;.031691;.192204;.100724;.057941;.067818;.024032;.057255;.023029;.014578;.014683;.008081;.007025;.169801;.066034;.02414;.285346;.054491;.09158;.054784;.044413;.112439;.026484;.025429;.02373;.013535;.007793;45484.22;146660.8;10865.6;28.89173;98.72211;7.313988;.5837344;0;1574.299;1485.592;12;3;7;8;4;1;22;13
