region_id;iso_smaf;gr_age;prob_0_0;prob_0_1;prob_0_2;prob_0_3;prob_0_4;prob_0_5;prob_1_0;prob_1_1;prob_1_2;prob_1_3;prob_1_4;prob_1_5;prob_2_0;prob_2_1;prob_2_2;prob_2_3;prob_2_4;prob_2_5;prob_3_0;prob_3_1;prob_3_2;prob_3_3;prob_3_4;prob_3_5;prob_4_0;prob_4_1;prob_4_2;prob_4_3;prob_4_4;prob_4_5;prob_5_0;prob_5_1;prob_5_2;prob_5_3;prob_5_4;prob_5_5
16;6;3;.9295344;.0324617;.0322857;.0022213;.0007478;.0027491;.0230704;.944496;.0293125;.0012231;.0001265;.0017714;.0185356;0;.9759811;.0019568;.000344;.0031825;.0037458;.000725;.0004833;.9926293;.0001208;.0022958;.1014493;0;.0434783;.1594203;.3043478;.3913043;.0045596;.0007199;.0019198;.0009599;0;.9918407
16;7;1;.9870096;.0080364;.0007339;.0026421;.0005137;.0010642;.0212104;.9629525;.0070701;.0045249;.0002828;.0039593;.0198151;0;.9643329;.007926;.001321;.006605;.0129352;.0017566;.0004791;.9841903;.0001597;.0004791;.0375;0;0;.0875;.775;.1;.0065789;0;.0010965;.004386;0;.9879386
16;7;2;.9446123;.0328969;.0087278;.0087278;.0013427;.0036925;.015082;.9462295;.0157377;.0144262;.0013115;.0072131;.0169731;0;.9660537;.0084866;.0014144;.0070721;.0035817;.0010745;.0003582;.9931948;.0003582;.0014327;0;.0526316;0;.0526316;.6842105;.2105263;.0020243;0;0;.0040486;0;.9939271
16;7;3;.9293664;.0401599;.0177902;.0057173;.0016097;.0053565;.0165728;.9498793;.0193886;.0076428;.0010861;.0054304;.0178866;0;.9655939;.0081458;.0014241;.0069496;.0029801;.0020265;.0007152;.9850996;.001192;.0079866;.0346535;.0247525;.039604;.0940594;.4603961;.3465346;.0041532;0;.0009229;.0020766;0;.9928473
16;8;1;.950431;.0201149;.003592;.012931;.0028736;.0100575;.0209268;.9686099;.0014948;.0059791;0;.0029895;.0177305;0;.964539;.0141844;0;.0035461;.0071014;.0006456;0;.9870884;.0025823;.0025823;.1666667;.0555556;0;.1111111;.6111111;.0555556;.0016353;.0008177;0;.002453;0;.995094
16;8;2;.9337079;.0280899;.0101124;.0146067;.0033708;.0101124;.020654;.9535284;.0068847;.0051635;.0034423;.010327;.0131926;0;.9656992;.0079156;0;.0131926;.0036232;.0006039;0;.9915459;0;.0042271;.0555556;0;0;.1666667;.6111111;.1666667;.0017637;0;0;.0035273;0;.994709
16;8;3;.9134149;.0319953;.0350958;.0094337;.0018801;.0081802;.0187001;.9351852;.031893;.0069596;.0003631;.0068991;.0166439;0;.9678056;.0077145;.0009719;.0068641;.0027291;.0008948;.0007606;.990918;.0004474;.0042502;.0404624;.0115607;.0346821;.2138728;.4393063;.2601156;.0024125;.0002784;.0010207;.0030621;0;.9932263
16;9;1;.9563861;.0319489;.0015603;.0040865;.0008173;.005201;.0141559;.9789744;.003192;.0009021;.0000694;.0027063;.0288066;0;.9492455;.0082305;0;.0137174;.0081337;.0017586;.0010991;.9857112;.0002198;.0030776;.025;0;0;.1;.7;.175;.002451;.0006127;.0001532;.0015319;0;.9952512
16;9;2;.9261792;.0549528;.0037736;.0018868;.0021226;.0110849;.0193961;.9676065;.0059988;.0017996;.0003999;.004799;.0168712;0;.958589;.0107362;0;.0138037;.0046327;.0026473;0;.9861019;.0006618;.0059563;0;0;.0555556;.1111111;.6111111;.2222222;.0024876;.0003554;.0010661;.0003554;0;.9957356
16;9;3;.9256142;.0390048;.0131823;.0053357;.001712;.0151511;.0201188;.9586827;.0109052;.0023394;.0004679;.0074861;.0196955;0;.9538711;.0056365;.0013605;.0194363;.0056231;.0013604;.0006349;.9813169;.0009069;.0101578;.0651341;.0191571;.0229885;.0498084;.6245211;.2183908;.0015903;.0001835;.0002752;.000367;.0000612;.9975228
16;10;1;.9809316;.0108779;.0006399;.0035833;.0007679;.0031994;.0178412;.970562;.0013381;.0017841;.0008921;.0075825;.0222222;0;.9555556;.0055556;0;.0166667;.0133914;.0026783;.0010044;.9795782;0;.0033478;.0555556;.0555556;0;0;.6666667;.2222222;.0012523;0;0;0;0;.9987476
16;10;2;.9180723;.0409639;.0048193;.0108434;.0060241;.0192771;.0127298;.9674682;.0028289;.0014144;.0014144;.0141443;.015873;0;.9365079;.0079365;.015873;.0238095;.0040459;0;.0013486;.9831423;0;.0114633;0;.0909091;0;.0909091;.2727273;.5454546;0;0;0;0;0;1
16;10;3;.8946028;.0319728;.023343;.0056589;.00672;.0377025;.014083;.9408719;.0149115;.0054882;.0017604;.022885;.0153708;0;.9449119;.0058342;.0023561;.031527;.0042717;.0011501;.0014787;.9733016;.0011501;.0186478;.0226537;.0097087;.0064725;.0355987;.5404531;.3851133;.0007658;.0001332;.0000666;.0003329;0;.9987015
16;11;1;.9542733;.0255852;.0010887;.0032662;.0005444;.0152422;.0083397;.9787718;.0030326;.0015163;0;.0083397;.0144928;0;.9565217;0;0;.0289855;.0100705;.0050352;0;.979859;0;.0050352;.25;0;0;0;.5;.25;.0013219;0;0;0;0;.9986781
16;11;2;.9029126;.0364078;.0024272;.0048544;.0072816;.0461165;.019774;.9519774;.0056497;0;0;.0225989;.0222222;0;.9111111;.0222222;0;.0444444;.0182927;0;0;.9573171;0;.0243902;0;0;0;0;0;1;.0016221;.000811;0;0;0;.9975669
16;11;3;.8875061;.0303773;.0155806;.0019598;.0053895;.0591867;.0204082;.9288903;.015625;.0014349;.0012755;.0323661;.0181779;0;.9164683;.0019476;.0054101;.0579961;.0079624;.0039812;.0010858;.9359392;.0018096;.0492219;.0301508;.0050251;.0251256;.0301508;.5778894;.3316583;.0008683;.0001022;.0000766;.0000766;0;.9988763
16;12;1;.9775636;.0135882;.001264;.0041081;.000474;.0030021;.0207156;.9717514;.0031387;.002511;0;.0018832;.0130719;0;.9150327;.0130719;.0130719;.0457516;.0106639;.001032;.001032;.9824561;0;.004816;.04;0;.08;0;.84;.04;.001265;0;0;0;0;.998735
16;12;2;.9161291;.0236559;.0107527;.0064516;.0021505;.0408602;.0438596;.9166667;.004386;.004386;.004386;.0263158;0;0;.9714286;0;0;.0285714;.0068359;.0019531;.0029297;.9775391;0;.0107422;0;0;0;0;.375;.625;.0022239;0;0;0;0;.9977762
16;12;3;.8927948;.0283496;.021284;.0021807;.0063678;.049023;.0187882;.9217885;.0190795;.0029129;.0014565;.0359744;.0183536;0;.9295546;.0025641;.0025641;.0469636;.0047632;.0021014;.0008406;.952928;.0018212;.0375455;.0305677;.0043668;.0087336;.0087336;.4978166;.4497817;.0008075;.0000521;.0000521;.0000781;.000026;.9989842
16;13;1;.9642551;.0180154;.0005719;.0028596;.0014298;.0128682;.0084786;.9821008;.0009421;.0009421;.000471;.0070655;.0181818;0;.9818182;0;0;0;.0148699;.0022305;.0037175;.9702602;.0007435;.0081784;.038961;0;0;.012987;.8831169;.0649351;.0008016;.0002004;0;.0004008;.0002004;.9983968
16;13;2;.8893528;.0271399;.0104384;.006263;.006263;.0605428;.0252294;.940367;.0045872;0;0;.0298165;.0625;0;.7916667;0;.0416667;.1041667;.0119048;0;0;.8690476;.0238095;.0952381;.1428571;0;.1428571;0;.1428571;.5714286;.0007429;0;.0007429;.0007429;0;.9977712
16;13;3;.8819162;.0245132;.0138675;.0014008;.0098053;.068497;.0175644;.9374707;.0114754;.0007026;.0025761;.0302108;.0213152;0;.8684807;.0027211;.0113379;.0961451;.0135028;.0063542;.0047657;.8792692;.00556;.0905481;.0362319;.0108696;.0108696;.0253623;.6268116;.2898551;.000636;.0000964;.0000193;.0000964;0;.9991519
16;14;1;.9748538;.0172515;.000731;.0030702;.0010234;.0030702;.013572;.9797863;.0014438;.0020214;0;.0031764;.0636364;0;.9272727;0;0;.0090909;.0145248;.0034733;.0015788;.9782128;.0003158;.0018945;.0535714;0;0;.0178571;.8571429;.0714286;.0008332;0;0;0;0;.9991668
16;14;2;.8949044;.0605096;0;0;.0031847;.0414013;.025641;.9384615;.0102564;0;0;.025641;0;0;0;0;0;1;.0333333;0;0;.95;0;.0166667;0;0;0;0;0;1;0;0;0;0;0;1
16;14;3;.8864236;.036186;.010037;.002113;.0079239;.0573164;.0139442;.9472111;.0106242;.000332;.00166;.0262284;.0200348;0;.9076655;.0026132;.0034843;.0662021;.0157819;.010043;0;.8579627;.0071736;.1090387;.0380952;.0190476;.0190476;.0285714;.5809524;.3142857;.0003908;.0000244;0;.0000244;.0000244;.999536
17;1;1;.9876472;.011883;.0001382;.0002487;.0000829;0;.0223481;.9752387;.0018886;.0004197;.0001049;0;.0181818;0;.9818182;0;0;0;.012474;.002079;0;.985447;0;0;.0123457;.0246914;0;.037037;.9012346;0;0;0;0;0;0;0
17;1;2;.9769816;.0220176;.0008006;.0001001;0;.0001001;.0232291;.9726311;.0034499;.00023;.00023;.00023;.0181818;0;.9818182;0;0;0;.05;.05;0;.8;0;0;0;0;0;0;.3333333;0;0;0;0;0;0;.6
17;1;3;.9621951;.0326127;.0049335;.0001293;.000037;.0000924;.0186921;.9690772;.0114807;.0003462;.0000577;.0003462;.0191697;0;.9793557;.0009074;0;.0005672;0;.0116279;0;.9767442;0;0;0;0;0;0;.875;0;0;.04;.04;.04;0;.88
17;2;1;.9866461;.0128403;.0002568;0;.0001712;.0000856;.015532;.9834326;.0010355;0;0;0;.019802;0;.980198;0;0;0;.0079365;0;0;.984127;0;0;.2;0;0;0;.6;0;0;0;0;0;0;0
17;2;2;.9703006;.0293372;.0003622;0;0;0;.0188679;.9788679;.0022642;0;0;0;.0333333;0;.95;0;0;0;0;0;0;.9090909;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;2;3;.9626134;.0321157;.005087;.0001226;0;.0000613;.0209648;.968018;.0100546;.0005348;0;.0004279;.0177552;0;.9816107;0;0;.0006341;0;.0140845;0;.9859155;0;0;0;0;0;0;0;0;.0384615;0;0;0;0;.9615384
17;3;1;.9843069;.0104621;.0017437;.0021796;.0013078;0;.0176991;.9734513;.0088496;0;0;0;.0112994;0;.9887006;0;0;0;.0151844;0;0;.9826464;0;0;.0576923;0;0;.0192308;.8846154;0;0;0;.0277778;0;0;.9444444
17;3;2;.9517766;.0329949;.0126904;0;0;.0025381;.0503145;.9308176;.0125786;.0062893;0;0;.031746;0;.968254;0;0;0;0;.0434783;0;.9130435;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;3;3;.9526876;.0299728;.0156056;.0004954;.0002477;.0009908;.0159129;.9522613;.0276382;.0020938;.0004188;.001675;.0128798;0;.9851387;.001321;0;.0006605;.0033333;0;0;.9933333;0;0;0;.3333333;0;0;0;0;0;.0208333;0;0;0;.9583333
17;4;1;.9693678;.0299804;.0005431;.0001086;0;0;.0139553;.9799309;.0050505;.0005316;0;.0005316;.0160321;0;.9799599;.002004;0;.002004;.0086957;0;0;.9826087;0;0;0;0;0;0;0;0;0;.0833333;0;0;0;.9166667
17;4;2;.9480025;.0504122;.0012682;.0003171;0;0;.0173734;.9764429;.0053004;.0005889;0;.0002945;.0266667;0;.9733334;0;0;0;.0222222;0;0;.9777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;4;3;.9328749;.0535597;.013004;.0002339;0;.0003274;.0145563;.9697818;.0140772;.000737;.0000737;.0007739;.0099567;0;.9874339;.0013047;.0001373;.0011673;0;0;.003413;.996587;0;0;0;0;.1666667;0;.5;0;.0108696;0;0;.0108696;0;.9782609
