region_id;annee;nb_usagers;nb_etc_avq;nb_etc_avd;heures_tot_trav_avq;heures_tot_trav_avd;tx_hrs_dep_avq;tx_hrs_dep_avd;sal_avq;sal_avd;cout_hr_serv_avq;cout_hr_serv_avd
14;2018;383;123.0133;44.19334;212197.9;76233.52;.1742032;.1742032;12.72798;12.72798;20.95018;20.95018
14;2019;441;137.3166;44.34161;236871.1;76489.28;.1742032;.1742032;14.05321;14.05321;22.51305;22.51305
15;2015;830;239.213;50.41404;412642.4;86964.23;.1898278;.1898278;11.61496;11.61496;17.35781;17.35781
15;2016;885;244.9252;39.24487;422496;67697.39;.1898278;.1898278;11.58169;11.58169;16.58591;16.58591
15;2017;939;268.2247;53.59593;462687.7;92452.98;.1898278;.1898278;12.15368;12.15368;17.99888;17.99888
15;2018;1038;300.4339;64.87057;518248.5;111901.7;.1898278;.1898278;12.26311;12.26311;18.40472;18.40472
15;2019;989;293.2729;71.85628;505895.8;123952.1;.1898278;.1898278;13.74643;13.74643;21.12453;21.12453
16;2015;1200;346.9508;108.4098;598490.1;187006.8;.1189626;.1189626;12.75451;12.75451;19.00015;19.00015
16;2016;1277;357.3305;98.36076;616395.1;169672.3;.1189626;.1189626;13.03342;13.03342;18.86535;18.86535
16;2017;1462;407.4769;110.2915;702897.6;190252.9;.1189626;.1189626;13.2474;13.2474;19.10596;19.10596
16;2018;1797;501.9154;137.0948;865804.1;236488.5;.1189626;.1189626;13.6296;13.6296;19.69546;19.69546
16;2019;2039;581.5004;172.7194;1003088;297941;.1189626;.1189626;15.15363;15.15363;22.30849;22.30849
17;2015;0;0;0;0;0;.3444113;.3444113;10.25298;10.25298;16.80654;16.80654
17;2016;0;0;0;0;0;.3444113;.3444113;9.64226;9.64226;17.15845;17.15845
17;2017;0;0;0;0;0;.3444113;.3444113;9.892113;9.892113;15.10166;15.10166
17;2018;0;0;0;0;0;.3444113;.3444113;9.840922;9.840922;15.04803;15.04803
17;2019;0;0;0;0;0;.3444113;.3444113;11.02204;11.02204;17.40573;17.40573
18;2015;0;0;0;0;0;.3444113;.3444113;10.25298;10.25298;16.80654;16.80654
18;2016;0;0;0;0;0;.3444113;.3444113;9.64226;9.64226;17.15845;17.15845
18;2017;0;0;0;0;0;.3444113;.3444113;9.892113;9.892113;15.10166;15.10166
18;2018;0;0;0;0;0;.3444113;.3444113;9.840922;9.840922;15.04803;15.04803
18;2019;0;0;0;0;0;.3444113;.3444113;11.02204;11.02204;17.40573;17.40573
